field/0/_name,field/0/__text,field/1/_name,field/1/__text,field/2/_name,field/2/__text,field/3/_name,field/3/__text
Country or Area,Albania,Year,2017,Value,33.1,Value Footnotes,1
Country or Area,Argentina,Year,2017,Value,41.1,Value Footnotes,2
Country or Area,Armenia,Year,2017,Value,33.6,Value Footnotes,3
Country or Area,Austria,Year,2017,Value,29.7,Value Footnotes,4
Country or Area,Belarus,Year,2017,Value,25.4,Value Footnotes,5
Country or Area,Belgium,Year,2017,Value,27.4,Value Footnotes,4
Country or Area,Bhutan,Year,2017,Value,37.4,Value Footnotes,6
Country or Area,Bolivia,Year,2017,Value,44.6,Value Footnotes,7
Country or Area,Brazil,Year,2017,Value,53.3,Value Footnotes,8
Country or Area,Bulgaria,Year,2017,Value,40.4,Value Footnotes,4
Country or Area,Canada,Year,2017,Value,33.3,Value Footnotes,9
Country or Area,Chile,Year,2017,Value,44.4,Value Footnotes,10
Country or Area,China,Year,2017,Value,39.1,Value Footnotes,11
Country or Area,Colombia,Year,2017,Value,49.7,Value Footnotes,12
Country or Area,Costa Rica,Year,2017,Value,48.3,Value Footnotes,13
Country or Area,Croatia,Year,2017,Value,30.4,Value Footnotes,4
Country or Area,Cyprus,Year,2017,Value,31.4,Value Footnotes,4
Country or Area,Czech Republic,Year,2017,Value,24.9,Value Footnotes,4
Country or Area,Denmark,Year,2017,Value,28.7,Value Footnotes,4
Country or Area,Djibouti,Year,2017,Value,41.6,Value Footnotes,14
Country or Area,Dominican Republic,Year,2017,Value,42.2,Value Footnotes,15
Country or Area,Ecuador,Year,2017,Value,44.7,Value Footnotes,16
Country or Area,Egypt,Year,2017,Value,31.5,Value Footnotes,17
Country or Area,El Salvador,Year,2017,Value,38,Value Footnotes,18
Country or Area,Estonia,Year,2017,Value,30.4,Value Footnotes,4
Country or Area,Finland,Year,2017,Value,27.4,Value Footnotes,4
Country or Area,France,Year,2017,Value,31.6,Value Footnotes,4
Country or Area,Gabon,Year,2017,Value,38,Value Footnotes,19
Country or Area,Georgia,Year,2017,Value,37.9,Value Footnotes,20
Country or Area,Germany,Year,2017,Value,31.2,Value Footnotes,21
Country or Area,Greece,Year,2017,Value,34.4,Value Footnotes,4
Country or Area,Honduras,Year,2017,Value,49.4,Value Footnotes,22
Country or Area,Hungary,Year,2017,Value,30.6,Value Footnotes,4
Country or Area,Iceland,Year,2017,Value,26.1,Value Footnotes,4
Country or Area,India,Year,2017,Value,35.9,Value Footnotes,23
Country or Area,Indonesia,Year,2017,Value,38.8,Value Footnotes,24
Country or Area,Iran,Year,2017,Value,40.8,Value Footnotes,25
Country or Area,Ireland,Year,2017,Value,31.4,Value Footnotes,4
Country or Area,Israel,Year,2017,Value,38.2,Value Footnotes,26
Country or Area,Italy,Year,2017,Value,35.9,Value Footnotes,4
Country or Area,Kazakhstan,Year,2017,Value,27.5,Value Footnotes,1
Country or Area,Kosovo,Year,2017,Value,29,Value Footnotes,1
Country or Area,Kyrgyz Republic,Year,2017,Value,27.3,Value Footnotes,27
Country or Area,Latvia,Year,2017,Value,35.6,Value Footnotes,4
Country or Area,Lesotho,Year,2017,Value,44.9,Value Footnotes,28
Country or Area,Lithuania,Year,2017,Value,37.3,Value Footnotes,4
Country or Area,Luxembourg,Year,2017,Value,34.5,Value Footnotes,4
Country or Area,Malta,Year,2017,Value,29.2,Value Footnotes,4
Country or Area,Mauritius,Year,2017,Value,36.8,Value Footnotes,1
Country or Area,Moldova,Year,2017,Value,25.9,Value Footnotes,1
Country or Area,Montenegro,Year,2017,Value,36.9,Value Footnotes,29
Country or Area,Myanmar,Year,2017,Value,30.7,Value Footnotes,30
Country or Area,Netherlands,Year,2017,Value,28.5,Value Footnotes,4
Country or Area,North Macedonia,Year,2017,Value,34.2,Value Footnotes,29
Country or Area,Norway,Year,2017,Value,27,Value Footnotes,4
Country or Area,Panama,Year,2017,Value,49.9,Value Footnotes,7
Country or Area,Paraguay,Year,2017,Value,48.5,Value Footnotes,31
Country or Area,Peru,Year,2017,Value,43.3,Value Footnotes,13
Country or Area,Poland,Year,2017,Value,29.7,Value Footnotes,4
Country or Area,Portugal,Year,2017,Value,33.8,Value Footnotes,4
Country or Area,Romania,Year,2017,Value,36,Value Footnotes,4
Country or Area,Russia,Year,2017,Value,37.2,Value Footnotes,1
Country or Area,SÃ£o TomÃ© and Principe,Year,2017,Value,40.7,Value Footnotes,32
Country or Area,Serbia,Year,2017,Value,36.2,Value Footnotes,4
Country or Area,Slovak Republic,Year,2017,Value,23.2,Value Footnotes,4
Country or Area,Slovenia,Year,2017,Value,24.2,Value Footnotes,4
Country or Area,Somalia,Year,2017,Value,36.8,Value Footnotes,33
Country or Area,Spain,Year,2017,Value,34.7,Value Footnotes,4
Country or Area,Sweden,Year,2017,Value,28.8,Value Footnotes,4
Country or Area,Switzerland,Year,2017,Value,32.7,Value Footnotes,4
Country or Area,TÃ¼rkiye,Year,2017,Value,41.4,Value Footnotes,34
Country or Area,Thailand,Year,2017,Value,36.5,Value Footnotes,35
Country or Area,Ukraine,Year,2017,Value,26,Value Footnotes,36
Country or Area,United Kingdom,Year,2017,Value,35.1,Value Footnotes,4
Country or Area,United States,Year,2017,Value,41.2,Value Footnotes,37
Country or Area,Uruguay,Year,2017,Value,39.5,Value Footnotes,38
Country or Area,Zimbabwe,Year,2017,Value,44.3,Value Footnotes,39
